X,Y,SHIFT,REPORT_DAT,CCN,OFFENSE,METHOD,DISTRICT
-76.9177803,38.89387675,DAY,11/14/2023,23424712,THEFT F/AUTO,OTHERS,6
-77.01896803,38.95945604,DAY,11/17/2023,23188552,THEFT F/AUTO,OTHERS,4
-77.0410309,38.91782917,EVENING,11/17/2023,23188675,THEFT/OTHER,OTHERS,3
-77.02191901,38.90791316,EVENING,11/18/2023,23188734,ASSAULT W/DANGEROUS WEAPON,OTHERS,3
-76.93126383,38.87759209,DAY,11/18/2023,23189030,THEFT/OTHER,OTHERS,6
-77.024749,38.93573012,DAY,11/18/2023,23189046,THEFT/OTHER,OTHERS,4
-76.99773692,38.92788874,DAY,11/18/2023,23189126,ROBBERY,GUN,5
-76.99952189,38.91966074,MIDNIGHT,11/19/2023,23189196,MOTOR VEHICLE THEFT,OTHERS,5
-77.00435542,38.87701219,EVENING,11/19/2023,23189343,THEFT/OTHER,OTHERS,1
-76.94764978,38.89666367,DAY,11/19/2023,23189578,THEFT F/AUTO,OTHERS,6
-77.0329955,38.92263685,EVENING,11/20/2023,23189820,THEFT/OTHER,OTHERS,3
-76.99587105,38.8524577,MIDNIGHT,11/11/2023,23185087,ROBBERY,OTHERS,7
-77.02968582,38.98654383,EVENING,11/11/2023,23185362,ROBBERY,GUN,4
-76.93858826,38.89113298,EVENING,11/12/2023,23185818,THEFT/OTHER,OTHERS,6
-76.97892157,38.84389198,EVENING,11/12/2023,23185845,THEFT/OTHER,OTHERS,7
-76.93006356,38.87770778,EVENING,11/13/2023,23185997,MOTOR VEHICLE THEFT,OTHERS,6
-76.9869109,38.88284681,EVENING,11/13/2023,23186024,ASSAULT W/DANGEROUS WEAPON,KNIFE,1
-76.99845259,38.83972359,MIDNIGHT,10/22/2023,23173789,MOTOR VEHICLE THEFT,OTHERS,7
-77.02344817,38.91777024,DAY,10/22/2023,23174039,BURGLARY,OTHERS,3
-77.04776772,38.90375017,DAY,10/24/2023,23175134,THEFT/OTHER,OTHERS,2
-77.02651085,38.89735568,DAY,10/25/2023,23175549,THEFT F/AUTO,OTHERS,2
-77.01258142,38.82565342,DAY,10/25/2023,23175615,THEFT/OTHER,OTHERS,7
-77.04085865,38.90520683,DAY,10/25/2023,23175673,THEFT/OTHER,OTHERS,2
-77.00470711,38.88507018,EVENING,10/25/2023,23175814,THEFT/OTHER,OTHERS,1
-77.03324381,38.91700459,DAY,10/26/2023,23176222,THEFT F/AUTO,OTHERS,3
-77.00255229,38.90565373,DAY,10/26/2023,23176276,THEFT/OTHER,OTHERS,5
-76.99557898,38.93237436,EVENING,10/27/2023,23424135,THEFT/OTHER,OTHERS,5
-77.09774231,38.93596365,EVENING,10/30/2023,23178582,THEFT/OTHER,OTHERS,2
-76.98007376,38.91719616,DAY,10/30/2023,23178583,THEFT/OTHER,OTHERS,5
-77.02510435,38.94028518,EVENING,10/31/2023,23178788,THEFT/OTHER,OTHERS,4
-77.04166268,38.91447064,DAY,10/31/2023,23178998,BURGLARY,OTHERS,2
-77.00280546,38.9025226,EVENING,10/31/2023,23179207,MOTOR VEHICLE THEFT,OTHERS,5
-77.03455933,38.91002536,DAY,11/2/2023,23179713,THEFT/OTHER,OTHERS,2
-76.96063415,38.88284586,EVENING,11/2/2023,23179960,MOTOR VEHICLE THEFT,OTHERS,6
-77.03651866,38.9115042,DAY,11/2/2023,23180282,BURGLARY,OTHERS,3
-77.02037581,38.93987938,EVENING,11/2/2023,23180363,THEFT F/AUTO,OTHERS,4
-77.00825983,38.83248628,MIDNIGHT,11/3/2023,23180665,ROBBERY,GUN,7
-77.0597587,38.93428469,EVENING,11/3/2023,23180882,THEFT F/AUTO,OTHERS,2
-77.03459323,38.93189648,DAY,10/31/2023,23424191,THEFT/OTHER,OTHERS,3
-77.04168568,38.90607134,DAY,11/6/2023,23424358,THEFT/OTHER,OTHERS,2
-77.02704113,38.90314099,DAY,11/7/2023,23424387,THEFT/OTHER,OTHERS,2
-76.97511483,38.91729421,DAY,11/10/2023,23424598,THEFT/OTHER,OTHERS,5
-76.99951424,38.88200774,MIDNIGHT,11/14/2023,23424690,THEFT/OTHER,OTHERS,1
-77.03325041,38.91557938,DAY,11/18/2023,23424805,THEFT/OTHER,OTHERS,3
