X,Y,CCN,REPORT_DAT
-76.91570045,38.88795011,23187199,11/15/2023
-77.00053907,38.87434209,23187335,11/15/2023
-77.0014018,38.95833712,23187759,11/16/2023
-77.04414897,38.90937262,23188025,11/16/2023
-76.98261077,38.90128315,23188433,11/17/2023
-77.05190543,38.9242076,23188512,11/18/2023
-77.03325664,38.90965936,23188648,11/17/2023
-76.92786715,38.8821593,23188752,11/18/2023
-76.99704897,38.94501647,23189223,11/18/2023
-77.09347887,38.94791701,23190102,11/20/2023
-76.98136992,38.90321137,23424396,11/7/2023
-77.05437003,38.89798941,23424665,11/12/2023
-76.98531592,38.90456823,23424717,11/15/2023
-77.01311321,38.90076716,23424892,11/19/2023
-77.00747637,38.90565019,23424911,11/19/2023
-76.99282474,38.9513219,23171007,10/24/2023
-76.98028571,38.86948628,23176221,10/26/2023
-76.96753631,38.86006285,23177938,10/29/2023
-77.00161375,38.9126099,23178317,10/30/2023
-77.04554866,38.91475745,23178904,10/31/2023
-76.96743921,38.92237771,23179099,10/31/2023
-77.00023795,38.90751507,23179671,11/1/2023
-77.0275628,38.92074074,23179679,11/1/2023
-77.02962298,38.91756408,23180407,11/2/2023
-77.01517777,38.89783019,23180529,11/3/2023
-76.9570476,38.89356917,23174315,10/23/2023
-76.97688147,38.90279997,23174389,10/23/2023
-77.02808821,38.91995013,23174447,10/23/2023
-76.97009346,38.86304964,23175552,10/25/2023
-76.96583972,38.86032036,23175836,10/25/2023
-77.03180112,38.93317573,23175973,10/26/2023
-77.02968831,38.96757619,23176028,10/26/2023
-76.9212075,38.89714952,23176038,10/26/2023
-77.01060908,38.91038807,23176223,10/26/2023
-77.03849031,38.91002178,23176237,10/26/2023
-76.9986028,38.9098593,23176846,10/27/2023
-77.02288925,38.92670868,23176851,10/27/2023
-77.03572977,38.93980894,23178091,10/29/2023
-77.0116176,38.95713215,23178389,10/30/2023
-76.96995406,38.89777119,23178881,10/31/2023
-77.02531246,38.93288554,23179382,10/31/2023
-76.98919534,38.86615736,23179516,11/1/2023
-77.02962591,38.91629318,23180513,11/3/2023
-76.99715929,38.92094079,23181518,11/4/2023
-77.02808366,38.91629302,23181753,11/5/2023
-77.03552645,38.91557997,23181878,11/5/2023
-76.9799399,38.90155459,23182072,11/5/2023
-77.03655237,38.90078038,23182219,11/6/2023
-76.98261077,38.90128315,23182473,11/6/2023
-76.9499672,38.90288802,23182988,11/7/2023
-76.96559761,38.87881104,23182031,11/5/2023
-77.03944955,38.90078169,23182395,11/19/2023
-77.02124708,38.94044287,23182432,11/6/2023
-76.99951036,38.90192628,23183020,11/7/2023
